"","X","post_date","wday","post_topic","post_style","post_tone","post_type","post_reactions","post_shares","post_comments","total_inter"
"426",426,"2018-09-22","Sat","Sexual Abstinence","Counsel","Enact fear","status",63,15,25,103
"427",427,"2018-09-22","Sat","Sexual Purity","Storytelling","Enact fear","status",174,14,35,223
"428",428,"2018-09-22","Sat","Sexual Abstinence","Counsel","Neutral","photo",286,29,121,436
"429",429,"2018-10-12","Fri","Sexual Abstinence","Counsel","Guilt","link",8,0,0,8
"430",430,"2018-09-25","Tue","Sexual Purity","Counsel","Enact fear","status",539,86,117,742
"431",431,"2018-10-10","Wed","Sexual Purity","Counsel","Guilt","status",171,33,79,283
"432",432,"2018-09-26","Wed","Sexual Abstinence","Counsel","Stigma","status",18,1,2,21
"433",433,"2018-10-10","Wed","Intimate Relations","Counsel","Neutral","status",65,3,35,103
"434",434,"2018-10-10","Wed","Sexual Abstinence","Counsel","Enact fear","status",63,2,21,86
"435",435,"2018-09-26","Wed","Intimate Relations","Counsel","Neutral","status",173,15,27,215
"436",436,"2018-10-10","Wed","Abuse","Storytelling","Neutral","status",42,14,26,82
"437",437,"2018-09-26","Wed","Sexual Abstinence","Counsel","Enact fear","status",552,35,106,693
"438",438,"2018-09-27","Thu","Sexual Abstinence","Counsel","Neutral","status",311,50,75,436
"439",439,"2018-09-27","Thu","Sexual Abstinence","Counsel","Stigma","status",135,11,35,181
"440",440,"2018-09-27","Thu","Abuse","Storytelling","Neutral","photo",297,14,18,329
"441",441,"2018-09-28","Fri","Sexual Abstinence","Request for opinion","Neutral","status",65,0,115,180
"442",442,"2018-09-28","Fri","Intimate Relations","Counsel","Neutral","status",189,41,37,267
"443",443,"2018-09-28","Fri","Sexual Abstinence","Experience sharing","Neutral","status",6,0,1,7
"444",444,"2018-09-28","Fri","Intimate Relations","Storytelling","Neutral","photo",116,5,20,141
"445",445,"2018-09-30","Sun","Sexual Purity","Request for opinion","Neutral","status",66,0,201,267
"446",446,"2018-09-29","Sat","Sexual Abstinence","Counsel","Neutral","status",623,29,221,873
"447",447,"2018-09-29","Sat","Intimate Relations","Experience sharing","Neutral","status",273,15,32,320
"448",448,"2018-09-30","Sun","Abuse","Request for opinion","Neutral","status",43,0,66,109
"449",449,"2018-10-10","Wed","Sexual Purity","Request for opinion","Neutral","status",16,0,38,54
"450",450,"2018-10-02","Tue","Intimate Relations","Counsel","Neutral","status",183,28,40,251
"451",451,"2018-10-03","Wed","Intimate Relations","Storytelling","Neutral","status",677,49,119,845
"452",452,"2018-10-04","Thu","Intimate Relations","Counsel","Neutral","status",43,4,11,58
"453",453,"2018-10-04","Thu","Family Planning","Storytelling","Guilt","status",126,6,23,155
"454",454,"2018-10-05","Fri","Intimate Relations","Counsel","Neutral","status",15,3,1,19
"455",455,"2018-10-05","Fri","Intimate Relations","Counsel","Stigma","status",29,1,2,32
"456",456,"2018-10-05","Fri","Intimate Relations","Storytelling","Neutral","status",441,54,122,617
"457",457,"2018-10-05","Fri","Abuse","Storytelling","Neutral","status",105,5,188,298
"458",458,"2018-10-05","Fri","Sexual Abstinence","Counsel","Neutral","photo",187,77,78,342
"459",459,"2018-10-05","Fri","Intimate Relations","Counsel","Neutral","status",23,0,18,41
"460",460,"2018-10-06","Sat","Sexual Purity","Counsel","Neutral","status",47,0,24,71
"461",461,"2018-10-09","Tue","Intimate Relations","Counsel","Neutral","status",33,6,5,44
"462",462,"2018-10-09","Tue","Intimate Relations","Storytelling","Neutral","status",115,8,19,142
"463",463,"2018-10-06","Sat","Abuse","Counsel","Neutral","status",190,3,23,216
"464",464,"2018-10-08","Mon","Sexual Abstinence","Counsel","Guilt","status",45,0,21,66
"465",465,"2018-10-08","Mon","Sexual Abstinence","Counsel","Neutral","status",14,0,0,14
"466",466,"2018-10-08","Mon","Sexual Abstinence","Counsel","Stigma","status",19,1,3,23
"467",467,"2018-10-08","Mon","Sexual Abstinence","Counsel","Neutral","status",62,0,12,74
"468",468,"2018-10-09","Tue","Intimate Relations","Counsel","Neutral","photo",26,3,7,36
"469",469,"2018-10-09","Tue","Sexual Purity","Storytelling","Neutral","status",52,19,5,76
"470",470,"2018-10-09","Tue","Family Planning","Counsel","Enact fear","status",56,17,13,86
"471",471,"2018-10-09","Tue","Abuse","Counsel","Neutral","status",12,0,3,15
"472",472,"2018-10-09","Tue","Intimate Relations","Counsel","Neutral","status",18,0,2,20
"473",473,"2018-10-09","Tue","Intimate Relations","Storytelling","Neutral","photo",38,3,2,43
"474",474,"2018-10-10","Wed","Sexual Purity","Storytelling","Neutral","status",16,1,10,27
"475",475,"2018-10-11","Thu","Sexual Abstinence","Counsel","Neutral","status",20,1,5,26
"476",476,"2018-10-11","Thu","Sexual Purity","Storytelling","Neutral","status",19,1,2,22
"477",477,"2018-10-11","Thu","Intimate Relations","Storytelling","Neutral","status",139,25,34,198
"478",478,"2018-10-11","Thu","Sexual Abstinence","Storytelling","Neutral","status",181,7,71,259
"479",479,"2018-10-12","Fri","Sexual Abstinence","Storytelling","Enact fear","status",242,69,82,393
"480",480,"2018-10-12","Fri","Abuse","Storytelling","Neutral","status",46,9,4,59
"481",481,"2018-10-12","Fri","Sexual Purity","Counsel","Enact fear","status",47,0,7,54
"482",482,"2018-10-12","Fri","Sexual Abstinence","Counsel","Neutral","status",28,41,7,76
"483",483,"2018-10-12","Fri","Intimate Relations","Counsel","Neutral","status",62,5,16,83
"484",484,"2018-10-13","Sat","Intimate Relations","Storytelling","Guilt","status",69,3,7,79
"485",485,"2018-10-14","Sun","Sexual Abstinence","Counsel","Neutral","status",55,1,11,67
"486",486,"2018-10-19","Fri","Intimate Relations","Request for opinion","Neutral","status",25,3,44,72
"487",487,"2018-10-16","Tue","Sexual Purity","Counsel","Guilt","status",15,0,14,29
"488",488,"2018-10-16","Tue","Sexual Purity","Counsel","Neutral","status",36,3,16,55
"489",489,"2018-10-16","Tue","Family Planning","Counsel","Stigma","status",37,2,5,44
