"","X","post_date","wday","post_topic","post_style","post_tone","post_type","post_reactions","post_shares","post_comments","total_inter"
"3269",3269,"2019-03-21","Thu","Intimate Relations","Counsel","Neutral","photo",44,17,4,65
"3270",3270,"2019-03-21","Thu","Sexual Purity","Counsel","Stigma","status",216,5,264,485
"3271",3271,"2019-03-21","Thu","Intimate Relations","Storytelling","Neutral","status",121,2,63,186
"3272",3272,"2019-03-22","Fri","Sexual Purity","Counsel","Guilt","status",20,6,5,31
"3273",3273,"2019-03-22","Fri","Intimate Relations","Counsel","Neutral","photo",27,3,0,30
"3274",3274,"2019-03-22","Fri","Intimate Relations","Counsel","Neutral","photo",62,9,7,78
"3275",3275,"2019-03-22","Fri","Intimate Relations","Counsel","Guilt","photo",9,0,0,9
"3276",3276,"2019-03-23","Sat","Sexual Purity","Counsel","Neutral","status",12,0,1,13
"3277",3277,"2019-03-23","Sat","Intimate Relations","Counsel","Enact fear","status",9,1,1,11
"3278",3278,"2019-03-23","Sat","Sexual Abstinence","Counsel","Neutral","status",67,3,6,76
"3279",3279,"2019-03-23","Sat","Intimate Relations","Counsel","Neutral","photo",167,17,16,200
"3280",3280,"2019-03-23","Sat","Intimate Relations","Counsel","Neutral","status",35,1,10,46
"3281",3281,"2019-03-23","Sat","Intimate Relations","Counsel","Guilt","photo",30,0,2,32
"3282",3282,"2019-03-23","Sat","Sexual Abstinence","Counsel","Enact fear","status",24,3,2,29
"3283",3283,"2019-03-24","Sun","Intimate Relations","Storytelling","Neutral","photo",122,4,16,142
"3284",3284,"2019-03-25","Mon","Intimate Relations","Counsel","Neutral","photo",14,4,0,18
"3285",3285,"2019-03-25","Mon","Intimate Relations","Counsel","Stigma","status",53,6,4,63
"3286",3286,"2019-03-25","Mon","Sexual Abstinence","Counsel","Neutral","photo",71,1,9,81
"3287",3287,"2019-03-26","Tue","Intimate Relations","Counsel","Guilt","photo",83,15,1,99
"3288",3288,"2019-03-26","Tue","Sexual Abstinence","Counsel","Enact fear","status",14,0,0,14
"3289",3289,"2019-03-26","Tue","Intimate Relations","Counsel","Neutral","photo",126,5,1,132
